Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
148,Luis García Jr.*,26,WSN,NL,0.7,61,212,203,24,53,11,3,7,38,2,1,8,31,.261,.288,.448,.736,106,.323,104,91,5,0,0,1,0,*3H/D,,garcilu04
149,Konnor Griffin,20,PIT,NL,1.6,51,208,189,30,51,9,2,4,22,14,1,14,56,.270,.327,.402,.729,102,.337,99,76,2,3,0,2,0,*6/DH,,griffko01
150,Gavin Sheets*,30,SDP,NL,0.2,59,208,183,25,42,11,0,10,26,3,0,23,48,.230,.322,.454,.776,117,.343,115,83,5,2,0,0,0,37/DH,,sheetga01
151,Andrew Benintendi*,31,CHW,AL,-0.3,58,207,186,25,44,9,2,6,30,1,0,17,58,.237,.296,.403,.699,95,.312,92,75,3,0,1,3,0,*DH/79,,beninan01
152,Kody Clemens*,30,MIN,AL,0.8,54,207,186,26,46,13,2,8,20,6,2,14,47,.247,.317,.468,.785,116,.351,116,87,2,5,2,0,0,*3/7894H,,clemeko01
153,Ramón Laureano,31,SDP,NL,0.1,53,206,182,23,37,6,2,7,21,7,2,20,65,.203,.286,.374,.660,85,.295,81,68,1,2,0,2,0,*7/9HD,,laurera01
154,Ryan O'Hearn*,32,PIT,NL,0.4,51,206,182,30,52,6,0,9,33,1,0,20,41,.286,.359,.467,.826,128,.370,132,85,11,2,0,2,1,93/DH,,ohearry01
155,Juan Soto*,27,NYM,NL,1.6,48,206,178,28,49,4,1,13,30,6,2,26,30,.275,.366,.528,.894,151,.382,146,94,2,0,0,1,5,7D,,sotoju01
156,Willi Castro#,29,COL,NL,0.5,54,205,183,27,48,10,0,3,22,4,4,18,57,.262,.337,.366,.703,89,.316,90,67,2,3,0,1,0,4536/7H8,,castrwi01
157,Connor Norby,26,MIA,NL,0.1,56,205,176,16,36,10,0,4,15,6,3,21,59,.205,.312,.330,.642,84,.298,87,58,4,7,0,1,0,3D/5H,,norbyco01
158,Teoscar Hernández,33,LAD,NL,0.9,51,204,181,30,50,8,0,7,31,2,0,19,55,.276,.348,.436,.785,120,.348,118,79,6,2,0,2,1,*7/D,,hernate01
159,Kyle Manzardo*,25,CLE,AL,0.4,59,204,179,23,41,7,1,7,21,0,0,21,67,.229,.319,.397,.715,101,.320,99,71,4,3,0,1,0,*3HD,,manzaky01
160,Adley Rutschman#,28,BAL,AL,1.5,48,204,180,25,48,14,1,8,36,0,1,21,28,.267,.343,.489,.832,134,.366,135,88,4,1,0,2,0,2/DH,,rutscad01
161,Ezequiel Durán,27,TEX,AL,1.9,57,203,184,26,54,14,2,4,35,5,1,16,47,.293,.347,.457,.803,135,.362,138,84,2,0,1,2,0,4675/9H,,duranez01
162,Caleb Durbin,26,BOS,AL,0.7,58,203,184,17,35,13,1,1,23,5,2,12,30,.190,.254,.288,.542,55,.251,52,53,5,4,2,1,0,*5/H,,durbica01
163,Brent Rooker,31,ATH,AL,-0.4,48,203,180,20,36,4,0,10,29,2,0,19,65,.200,.281,.389,.670,80,.301,75,70,3,2,0,2,1,D/97H,,rookebr01
164,Garrett Mitchell*,27,MIL,NL,0.7,55,202,170,24,40,12,2,3,31,6,5,28,73,.235,.348,.382,.731,105,.320,103,65,2,2,1,1,1,*8/HD,,mitchga01
165,Marcell Ozuna,35,PIT,NL,-0.8,49,202,181,15,35,5,0,5,22,0,0,19,58,.193,.277,.304,.581,62,.273,63,55,4,2,0,0,1,*D/H,,ozunama01
166,Oswald Peraza,26,LAA,AL,1.5,61,202,186,19,50,8,2,7,18,7,1,9,51,.269,.323,.446,.770,116,.353,119,83,3,6,1,0,0,45H/63D,,perazos02
167,Mark Vientos,26,NYM,NL,-0.8,55,202,192,19,41,9,0,7,26,0,0,7,46,.214,.248,.370,.617,73,.268,65,71,8,2,0,1,0,*3/HD,,vientma01
168,Luis Rengifo#,29,MIL,NL,-0.4,53,201,177,17,35,9,0,0,19,3,2,19,24,.198,.276,.249,.525,49,.244,45,44,2,1,2,2,1,*5/H3D,,rengilu01
169,Will Smith,31,LAD,NL,0.9,52,201,173,23,43,5,0,6,23,0,0,23,34,.249,.338,.382,.720,103,.321,100,66,5,2,0,3,0,*2/HD,,smithwi05
170,George Springer,36,TOR,AL,-0.5,46,201,178,17,36,10,0,5,14,3,2,18,39,.202,.283,.343,.626,72,.290,73,61,5,2,0,0,0,*D/H,,springe01
171,Justin Crawford*,22,PHI,NL,-0.2,60,200,184,17,43,9,2,2,13,8,2,14,39,.234,.295,.337,.632,74,.292,71,62,1,2,0,0,0,*8/H,,crawfju01
172,Jesús Sánchez*,28,TOR,AL,0.0,63,200,185,21,53,12,0,6,28,1,1,7,41,.286,.320,.449,.769,109,.331,102,83,4,4,0,4,1,*97H/D,,sanchje02
173,Jose Altuve,36,HOU,AL,0.2,46,198,175,30,42,10,0,5,13,1,2,20,41,.240,.320,.383,.703,97,.316,98,67,6,1,1,1,1,4/D,,altuvjo01
174,Samuel Basallo*,21,BAL,AL,1.5,55,197,177,25,47,9,1,9,26,0,0,18,50,.266,.330,.480,.810,128,.356,127,85,2,0,0,2,1,2D/H3,,basalsa01
175,Joc Pederson*,34,TEX,AL,0.7,61,197,164,24,39,7,1,8,23,0,0,27,40,.238,.347,.439,.786,131,.346,129,72,7,2,0,3,1,*DH/93,,pederjo01
176,Miguel Andujar,31,SDP,NL,-0.1,52,196,188,18,48,12,2,5,17,2,2,6,33,.255,.286,.420,.706,97,.305,92,79,6,2,0,0,1,*D/5H3,,andujmi01
177,Leody Taveras#,27,BAL,AL,0.8,56,196,167,24,43,8,2,2,24,7,1,22,42,.257,.347,.365,.713,104,.337,109,61,1,1,6,0,0,*8/H9,,taverle01
178,José Caballero,29,NYY,AL,1.2,55,193,178,23,45,9,0,5,16,15,6,11,36,.253,.311,.388,.699,95,.322,98,69,7,4,0,0,0,*6/H5947D,,cabaljo01
179,Sam Antonacci*,23,CHW,AL,1.2,48,191,161,29,46,8,2,1,15,8,4,12,28,.286,.386,.379,.765,117,.371,135,61,1,15,2,1,0,*7/4H,,antonsa01
180,Luke Raley*,31,SEA,AL,0.9,61,191,174,22,44,6,1,13,31,1,1,9,64,.253,.312,.523,.835,136,.362,135,91,0,6,2,0,1,*9H/D78,,raleylu01
181,Trevor Larnach*,29,MIN,AL,0.6,54,190,162,29,42,10,1,3,17,2,1,26,38,.259,.368,.389,.757,112,.351,118,63,4,2,0,0,1,*7/HD,,larnatr01
182,Corey Seager*,32,TEX,AL,0.8,44,190,164,23,30,6,0,8,22,1,0,22,51,.183,.284,.366,.650,91,.289,88,60,5,2,0,2,2,*6,,seageco01
183,Colt Keith*,24,DET,AL,-0.1,60,189,177,22,47,8,2,0,7,2,0,10,40,.266,.307,.333,.640,80,.290,74,59,3,1,0,1,0,5DH/3,,keithco01
184,Daniel Schneemann*,29,CLE,AL,1.1,53,189,171,20,39,9,0,4,20,4,2,18,54,.228,.302,.351,.652,84,.299,84,60,3,0,0,0,0,85/4H69,,schneda04
185,Jake McCarthy*,28,COL,NL,0.2,55,188,170,22,48,11,3,4,26,11,2,11,37,.282,.324,.453,.777,106,.347,102,77,3,1,3,3,0,*87/9HD,,mccarja02
186,Marcelo Mayer*,23,BOS,AL,0.5,58,186,167,17,37,6,0,3,15,3,0,12,33,.222,.281,.311,.592,70,.281,72,52,4,3,0,3,0,*46/H,,mayerma01
187,Tyler Stephenson,29,CIN,NL,0.4,52,186,161,12,33,7,0,5,18,0,1,23,48,.205,.301,.342,.643,77,.292,77,55,4,0,0,2,0,*2/H,,stephty01
188,Matt Vierling,29,DET,AL,-0.9,56,185,165,16,35,10,1,4,23,2,2,16,31,.212,.276,.358,.633,76,.276,69,59,4,0,0,4,0,*8/H79,,vierlma01
189,Curtis Mead,25,WSN,NL,1.2,52,184,157,29,38,10,0,9,28,3,2,24,33,.242,.353,.478,.831,134,.367,137,75,3,3,0,0,0,3H5/4D,,meadcu01
190,Victor Scott II*,25,STL,NL,-0.4,61,184,155,19,30,4,0,2,9,9,4,16,44,.194,.276,.258,.534,55,.248,50,40,3,2,10,1,0,*8/DH,,scottvi01
191,Mike Yastrzemski*,35,ATL,NL,0.7,60,184,162,26,38,9,1,3,17,1,0,18,41,.235,.326,.358,.684,97,.316,100,58,1,4,0,0,0,*7H9/8D,,yastrmi01
192,Coby Mayo,24,BAL,AL,-0.4,53,182,165,23,32,6,0,8,25,1,0,14,57,.194,.264,.376,.639,80,.285,76,62,3,2,0,1,0,5/3DH,,mayoco01
193,Tristan Peters*,26,CHW,AL,1.9,62,182,163,19,50,15,1,2,18,4,2,13,33,.307,.365,.448,.813,127,.364,129,73,0,2,4,0,0,*89/H7,,petertr01
194,David Hamilton*,28,MIL,NL,0.9,53,181,154,29,37,3,1,3,11,14,4,19,36,.240,.328,.331,.659,86,.309,85,51,1,1,6,0,0,56/4H,,hamilda03
195,Cal Raleigh#,29,SEA,AL,-0.2,41,181,161,16,26,4,0,7,18,2,1,18,57,.161,.243,.317,.560,60,.253,57,51,4,0,0,2,0,2D/H,,raleica01
196,Rhys Hoskins,33,CLE,AL,0.2,52,180,141,23,27,10,0,6,24,0,0,34,51,.191,.344,.390,.735,107,.337,111,55,3,1,0,4,0,3DH,,hoskirh01
197,Kyle Isbel*,29,KCR,AL,0.4,55,180,162,16,39,7,1,3,11,5,0,9,41,.241,.291,.352,.643,82,.299,81,57,4,3,5,1,0,*8/H,,isbelky01
198,Victor Caratini#,32,MIN,AL,0.0,48,179,148,10,32,4,0,3,23,0,0,16,36,.216,.313,.304,.617,73,.294,78,45,4,8,0,7,0,23/HD,,caratvi01
199,Zack Gelof,26,ATH,AL,1.0,50,179,165,25,44,7,1,7,22,6,1,11,45,.267,.316,.448,.765,106,.339,100,74,5,1,2,0,0,58/4H9,,gelofza01
200,Kyle Stowers*,28,MIA,NL,-0.3,43,179,159,18,34,10,1,4,15,1,1,16,53,.214,.292,.365,.657,87,.298,88,58,6,2,1,1,1,79/3DH,,stoweky01
201,Carlos Cortes*,29,ATH,AL,0.7,53,178,154,15,48,9,1,5,17,1,0,21,17,.312,.399,.481,.879,138,.391,139,74,6,2,0,1,0,9/DH71,,corteca01
202,TJ Friedl*,30,CIN,NL,-0.6,47,178,156,15,28,6,0,2,8,5,0,13,42,.179,.259,.256,.515,43,.243,34,40,1,4,4,1,0,*87/H,,friedtj01
203,Jeremiah Jackson,26,BAL,AL,0.7,55,178,171,18,43,7,0,6,28,1,1,4,36,.251,.270,.398,.667,87,.303,90,68,10,1,0,2,0,*4/HD9,,jacksje02
204,Lawrence Butler*,25,ATH,AL,-1.1,59,177,158,17,26,3,0,3,14,4,2,19,47,.165,.254,.241,.495,36,.236,32,38,3,0,0,0,1,*98H,,butlela01
205,José Fernández,22,ARI,NL,-0.1,55,177,165,23,42,7,0,3,15,7,2,7,40,.255,.289,.352,.641,79,.302,83,58,2,1,4,0,0,D35H/6,,fernajo06
206,Brady House,23,WSN,NL,0.1,44,177,163,22,37,7,0,7,25,1,0,13,50,.227,.282,.399,.681,91,.315,97,65,4,0,0,1,0,5/DH,,housebr01
207,Edouard Julien*,27,COL,NL,-0.8,55,176,153,20,33,4,1,2,14,4,3,22,49,.216,.318,.294,.612,66,.287,68,45,5,1,0,0,0,43H/D,,julieed01
208,Heliot Ramos,26,SFG,NL,0.4,44,176,165,19,44,12,1,4,20,0,0,10,47,.267,.307,.424,.731,109,.321,107,70,1,0,0,1,1,7/H,,ramoshe02
209,Trevor Story,33,BOS,AL,0.1,41,176,165,16,34,7,0,3,19,4,0,8,57,.206,.244,.303,.547,56,.270,63,50,6,1,0,2,0,6/D,,storytr01
210,Carson Kelly,31,CHC,NL,1.1,48,175,157,19,44,6,0,2,18,0,0,15,30,.280,.354,.357,.711,108,.327,113,56,3,3,0,0,0,2/H3D1,,kellyca02
211,Owen Caissie*,23,MIA,NL,-0.4,56,174,154,18,34,9,0,5,30,3,0,14,73,.221,.287,.377,.664,88,.302,87,58,1,2,0,4,0,*9/HD,,caissow01
212,Ryan McMahon*,31,NYY,AL,0.1,59,174,161,17,34,4,0,7,21,3,0,12,55,.211,.266,.366,.632,76,.291,75,59,4,0,1,0,0,*5/6H,,mcmahry01
213,Taylor Walls#,29,TBR,AL,1.4,48,170,143,22,29,6,2,0,14,8,2,20,44,.203,.309,.273,.582,65,.285,67,39,2,2,5,0,0,*6/H,,wallsta01
214,Austin Wells*,26,NYY,AL,-0.1,47,169,145,15,24,1,0,4,7,0,0,23,45,.166,.278,.255,.533,51,.248,47,37,5,0,0,1,2,*2/H,,wellsau01
215,Jacob Wilson,24,ATH,AL,0.3,39,168,161,18,47,8,0,3,19,2,0,5,20,.292,.311,.398,.709,92,.331,96,64,4,0,1,1,0,6,,wilsoja05
216,Brice Matthews,24,HOU,AL,-0.4,55,166,153,16,31,4,1,4,14,2,4,11,54,.203,.255,.320,.575,61,.250,56,49,3,0,1,1,0,874/H5,,matthbr01
217,Gleyber Torres,29,DET,AL,1.4,37,166,137,23,37,4,0,3,14,0,0,26,29,.270,.386,.365,.751,112,.349,118,50,2,1,0,2,1,4/D,,torregl01
218,Tyler Freeman,27,COL,NL,-0.1,43,165,143,16,39,5,0,3,18,5,2,8,19,.273,.354,.371,.725,96,.330,95,53,8,10,4,0,0,9/D4H8,,freemty01
219,Wenceel Pérez#,26,DET,AL,-0.8,48,165,152,20,27,4,1,6,15,3,1,13,27,.178,.242,.336,.578,60,.259,53,51,1,0,0,0,0,*98/HD,,perezwe01
220,Mickey Moniak*,28,COL,NL,0.9,43,164,150,21,42,9,2,12,28,1,0,10,40,.280,.335,.607,.942,147,.399,144,91,3,3,0,1,0,789D/H,,moniami01
221,Dominic Canzone*,28,SEA,AL,1.1,58,161,143,22,40,12,0,8,25,1,1,14,34,.280,.348,.531,.879,150,.379,147,76,1,2,0,2,0,*DH/9,,canzodo01
222,J.T. Realmuto,35,PHI,NL,0.7,44,161,142,14,30,4,0,3,11,2,0,13,29,.211,.298,.303,.601,66,.283,66,43,3,5,0,1,0,2,,realmjt01
223,JJ Bleday*,28,CIN,NL,1.4,37,160,139,20,38,9,1,10,28,2,1,20,31,.273,.363,.568,.931,153,.407,157,79,1,0,0,1,1,7/D9,,bledajj01
224,Nick Fortes,29,TBR,AL,-0.7,51,160,149,11,36,7,0,1,13,0,0,4,21,.242,.283,.309,.592,66,.264,58,46,6,5,1,1,0,*2H/D,,forteni01
225,Nathaniel Lowe*,30,CIN,NL,0.5,49,159,143,16,36,9,0,9,25,0,0,16,39,.252,.327,.503,.831,126,.365,127,72,1,0,0,0,0,D3H,,lowena01
226,Travis Bazzana*,23,CLE,AL,1.0,37,157,137,14,36,9,1,4,17,9,2,17,30,.263,.350,.431,.781,119,.358,120,59,0,2,0,1,1,4/H,,bazzatr01
227,Joey Ortiz,27,MIL,NL,0.4,55,157,132,17,27,4,0,1,14,4,3,20,26,.205,.305,.258,.563,61,.259,57,34,2,0,3,2,0,*6/HD,,ortizjo06
228,Blaze Alexander,27,BAL,AL,0.5,56,156,140,18,40,8,1,2,18,7,2,10,38,.286,.340,.400,.740,110,.339,111,56,5,2,2,1,1,546/87H9,,alexabl01
229,Moisés Ballesteros*,22,CHC,NL,0.4,52,156,138,15,33,5,0,6,22,0,0,16,32,.239,.314,.406,.720,108,.317,106,56,0,0,0,2,0,D/H2,,ballemo01
230,Nathan Church*,25,STL,NL,0.9,45,156,146,17,36,6,0,5,18,4,2,6,33,.247,.282,.390,.672,91,.297,88,57,3,2,0,2,0,*78/9H,,churcna01
231,Gabriel Moreno,26,ARI,NL,1.2,41,156,137,21,35,9,0,4,21,3,1,14,30,.255,.327,.409,.736,105,.332,106,56,2,2,0,3,0,2/HD,,morenga01
232,Vaughn Grissom,25,LAA,AL,0.1,40,155,134,14,33,10,0,4,27,0,0,14,17,.246,.325,.410,.735,107,.329,106,55,7,3,0,3,0,34/5H,,grissva01
233,Richie Palacios*,29,TBR,AL,0.3,48,155,131,19,31,4,2,1,19,7,4,20,33,.237,.348,.321,.669,89,.313,94,42,3,3,0,1,0,*4H/579D,,palacri01
234,Eugenio Suárez,34,CIN,NL,-0.6,39,154,138,13,28,5,0,4,16,0,0,15,48,.203,.279,.326,.605,67,.284,69,45,1,0,0,1,0,D5/H,,suareeu01
235,Dominic Smith*,31,ATL,NL,0.7,53,153,139,24,42,4,1,6,28,0,0,9,22,.302,.342,.475,.817,132,.361,133,66,2,1,1,3,0,DH/3,,smithdo02
236,Christian Yelich*,34,MIL,NL,0.7,35,153,138,28,39,7,1,4,20,5,0,14,44,.283,.353,.435,.788,120,.350,115,60,1,1,0,0,2,D/7H,,yelicch01
237,Colton Cowser*,26,BAL,AL,0.8,57,151,132,20,31,3,0,6,22,1,1,16,43,.235,.313,.394,.707,100,.309,95,52,1,0,1,2,0,*98H/7D,,cowseco01
238,Paul Goldschmidt,38,NYY,AL,1.0,40,151,135,23,37,8,1,8,27,1,0,13,29,.274,.351,.526,.877,143,.382,140,71,2,3,0,0,0,3/HD,,goldspa01
239,Logan O'Hoppe,26,LAA,AL,-0.5,43,151,134,15,26,5,0,2,15,0,0,13,37,.194,.278,.276,.554,58,.257,56,37,3,3,0,1,0,2/H,,ohopplo01
240,Ben Williamson,25,TBR,AL,0.5,47,151,133,20,34,6,1,0,17,5,1,16,32,.256,.340,.316,.656,85,.307,84,42,3,1,1,0,0,46H/51D,,willibe03
241,Javier Sanoja,23,MIA,NL,0.4,49,149,138,9,36,10,0,2,22,3,1,10,18,.261,.311,.377,.688,96,.322,104,52,2,0,1,0,0,57/6H4189,,sanojja01
242,Ryan Jeffers,29,MIN,AL,1.8,37,148,122,26,36,7,1,7,26,1,0,23,23,.295,.408,.541,.949,162,.428,171,66,2,1,0,1,0,2/DH,,jeffery01
243,Edgar Quero#,23,CHW,AL,-0.6,46,147,125,12,23,1,0,2,15,1,0,12,36,.184,.262,.240,.502,43,.238,38,30,4,3,2,5,0,2H/D,,queroed01
244,Lane Thomas,30,KCR,AL,0.2,52,147,120,12,27,4,0,2,14,3,3,24,31,.225,.354,.308,.662,91,.306,95,37,1,1,0,2,0,*8H97/D,,thomala02
245,Michael Massey*,28,KCR,AL,0.7,50,146,137,16,36,9,0,6,20,1,0,5,27,.263,.283,.460,.743,108,.320,100,63,2,0,1,3,0,*4/H759,,massemi02
246,Christian Vázquez,35,HOU,AL,0.9,44,144,131,14,32,6,0,4,19,0,0,11,24,.244,.303,.382,.684,91,.303,86,50,1,0,2,0,1,2/HD,,vazquch01
247,Drew Gilbert*,25,SFG,NL,0.1,48,143,132,14,31,6,2,3,12,0,0,8,30,.235,.284,.379,.662,90,.300,92,50,2,1,2,0,1,*87/H9,,gilbedr01
248,Alex Freeland#,24,LAD,NL,1.0,43,142,123,15,29,5,0,3,13,1,0,14,39,.236,.317,.350,.666,88,.302,85,43,4,1,3,1,0,4/H,,freelal01
249,Danny Jansen,31,TEX,AL,0.3,41,142,123,11,21,6,1,3,12,1,1,13,40,.171,.277,.309,.586,73,.268,75,38,5,5,1,0,0,2/HD,,janseda01
250,Masataka Yoshida*,32,BOS,AL,-0.1,44,142,123,14,30,6,1,1,10,1,0,15,16,.244,.338,.333,.671,93,.311,94,41,1,3,0,1,0,DH/7,,yoshima02
251,Jackson Chourio,22,MIL,NL,1.3,30,141,128,22,39,11,0,4,17,5,0,12,37,.305,.362,.484,.846,135,.385,139,62,1,0,0,1,0,7/89H,,chourja01
252,Carlos Correa,31,HOU,AL,1.3,32,141,122,22,34,8,0,3,16,1,0,18,26,.279,.369,.418,.787,121,.358,123,51,5,0,0,1,1,65,,correca01
253,Jorbit Vivas*,25,WSN,NL,-0.2,49,141,120,16,28,7,0,1,8,0,1,12,20,.233,.319,.317,.636,82,.286,80,38,3,4,2,2,0,54H/D1,,vivasjo01
254,Zach McKinstry*,31,DET,AL,-1.0,42,140,121,5,20,3,0,1,9,1,3,15,26,.165,.254,.215,.468,33,.238,45,26,2,0,2,2,1,49/5H68,,mckinza01
255,Patrick Bailey#,27,2TM,2LG,-0.2,46,140,130,9,20,3,1,2,9,2,0,9,35,.154,.207,.238,.446,28,.211,24,31,5,0,0,1,0,2/H,,bailepa01
255,Patrick Bailey#,27,SFG,NL,-0.2,30,89,82,5,12,0,0,1,5,2,0,7,22,.146,.213,.183,.396,17,.192,11,15,3,0,0,0,0,2,,bailepa01
255,Patrick Bailey#,27,CLE,AL,0.0,16,51,48,4,8,3,1,1,4,0,0,2,13,.167,.196,.333,.529,46,.244,46,16,2,0,0,1,0,2/H,,bailepa01
256,Henry Davis,26,PIT,NL,0.0,44,139,121,13,17,3,0,5,17,1,0,13,28,.140,.239,.289,.528,47,.244,41,35,3,3,1,1,0,2/H,,davishe01
257,Kerry Carpenter*,28,DET,AL,-0.2,43,138,121,13,28,3,2,8,22,0,0,12,46,.231,.304,.488,.792,118,.341,112,59,1,2,0,3,0,9DH/7,,carpeke01
258,Keibert Ruiz#,27,WSN,NL,1.0,42,138,131,17,36,14,0,5,27,1,1,4,19,.275,.297,.496,.793,121,.335,114,65,5,1,0,2,0,2/H,,ruizke01
259,Brandon Valenzuela#,25,TOR,AL,1.2,44,137,119,17,30,5,0,7,16,1,0,16,30,.252,.338,.471,.809,120,.355,116,56,0,0,1,1,0,2/H,,valenbr01
260,Ty France,31,SDP,NL,1.1,45,136,127,14,34,5,2,6,18,1,1,7,31,.268,.311,.480,.791,120,.340,117,61,3,1,0,0,0,3/H5,,francty01
261,Matt Wallner*,28,MIN,AL,-1.4,34,135,120,14,20,3,0,4,10,0,1,10,53,.167,.259,.292,.551,54,.252,51,35,2,5,0,0,0,9/H,,wallnma01
262,Darell Hernaiz,24,ATH,AL,-0.1,47,134,118,12,28,3,0,1,7,3,0,13,23,.237,.318,.288,.606,67,.284,61,34,1,1,2,0,0,654/H9,,hernada04
263,Josh Lowe*,28,LAA,AL,-1.1,45,134,125,8,23,2,0,5,14,1,0,6,39,.184,.226,.320,.546,53,.244,45,40,0,1,1,1,0,7/H89,,lowejo01
264,Mookie Betts,33,LAD,NL,0.1,31,133,120,16,22,3,0,6,17,0,2,11,16,.183,.256,.358,.614,71,.271,70,43,5,1,0,1,0,6,,bettsmo01
265,Adrian Del Castillo*,26,ARI,NL,-0.5,41,133,122,9,23,4,0,4,20,0,0,10,41,.189,.248,.320,.568,58,.268,62,39,5,0,0,1,0,D2/H31,,delcaad01
266,Jake Mangum#,30,PIT,NL,0.6,46,132,117,17,34,3,0,1,9,11,1,9,24,.291,.349,.342,.691,94,.332,94,40,3,2,3,1,1,7H9/8,,manguja01
267,Jeremy Peña,28,HOU,AL,1.4,30,132,118,23,34,7,0,3,12,5,1,10,19,.288,.356,.424,.780,119,.372,131,50,1,3,0,1,0,6/H,,penaje02
268,Hyeseong Kim*,27,LAD,NL,0.6,43,131,116,16,30,3,1,1,11,5,1,12,31,.259,.323,.328,.651,85,.298,80,38,2,0,0,2,0,64/7H,,kimhy02
269,José Tena*,25,WSN,NL,-0.5,51,131,122,19,26,7,1,3,13,0,0,8,42,.213,.267,.361,.628,77,.279,72,44,5,1,0,0,0,DH/4759,,tenajo01
270,Roman Anthony*,22,BOS,AL,0.8,30,130,109,12,25,5,1,1,5,2,0,20,33,.229,.354,.321,.675,95,.316,97,35,0,1,0,0,1,7D/9H,,anthoro01
271,Freddy Fermin,31,SDP,NL,0.4,48,130,112,14,18,5,0,3,11,0,1,12,28,.161,.250,.286,.536,52,.254,56,32,1,2,2,2,0,*2,,fermifr01
272,Yoán Moncada#,31,LAA,AL,-0.3,41,130,111,9,21,1,1,3,10,1,0,17,45,.189,.308,.297,.605,73,.285,74,33,2,2,0,0,0,5/HD,,moncayo01
273,Pedro Pagés,27,STL,NL,-0.3,38,130,118,11,25,4,0,4,9,2,0,5,31,.212,.254,.347,.601,71,.268,63,41,5,2,4,1,0,2,,pagespe02
274,Agustín Ramírez,24,MIA,NL,-0.3,31,129,113,14,26,5,1,2,14,3,1,13,28,.230,.318,.345,.663,90,.297,85,39,5,2,0,1,1,2D/H,,ramirag01
275,Francisco Alvarez,24,NYM,NL,0.0,37,128,112,12,27,5,0,4,10,0,0,11,28,.241,.317,.393,.710,101,.321,103,44,10,2,0,1,0,2/DH,,alvarfr01
276,Ke'Bryan Hayes,29,CIN,NL,-0.2,44,128,120,10,17,2,1,2,5,1,0,8,20,.142,.195,.225,.420,16,.208,14,27,5,0,0,0,0,*5/H,,hayeske01
277,Heriberto Hernández,26,MIA,NL,0.2,40,128,114,10,25,0,1,5,23,5,2,12,31,.219,.297,.368,.665,89,.312,96,42,0,1,0,1,0,7H/9D,,hernahe01
278,Carlos Narváez,27,BOS,AL,-0.1,39,128,115,14,24,5,0,2,3,1,0,10,38,.209,.283,.304,.588,68,.279,72,35,5,2,1,0,0,2/DH,,narvaca01
279,Royce Lewis,27,MIN,AL,-0.3,33,127,111,11,18,3,0,3,13,3,0,13,38,.162,.260,.270,.530,48,.268,56,30,1,2,0,1,0,5/34,,lewisro02
280,Gary Sánchez,33,MIL,NL,0.4,38,126,102,19,21,4,1,6,18,0,0,22,26,.206,.357,.441,.798,123,.354,123,45,4,2,0,0,0,2DH/3,,sanchga02
281,Jonny DeLuca,27,TBR,AL,0.6,41,125,119,17,32,11,0,2,19,6,2,5,26,.269,.298,.412,.710,97,.318,93,49,5,0,1,0,0,9H8/7D,,delucjo01
282,Nick Castellanos,34,SDP,NL,-1.0,39,122,115,9,22,5,0,4,20,2,0,5,34,.191,.221,.339,.560,56,.259,55,39,1,0,0,2,1,9/DH73,,casteni01
283,Brenton Doyle,28,COL,NL,-0.4,43,122,111,21,23,4,0,1,4,9,2,11,40,.207,.279,.270,.549,49,.270,47,30,0,0,0,0,0,8/H,,doylebr02
284,Luisangel Acuña,24,CHW,AL,-0.3,47,121,110,13,21,2,0,0,6,11,1,7,21,.191,.242,.209,.451,28,.224,18,23,4,1,1,2,0,86/H4,,acunajo01
285,Tristan Gray*,30,MIN,AL,0.0,40,121,109,13,29,4,0,4,26,2,0,7,35,.266,.308,.413,.721,99,.320,93,45,1,1,1,3,0,56/H43,,graytr01
286,Tyler O'Neill,31,BAL,AL,-0.6,40,120,105,14,17,1,0,2,8,1,0,13,30,.162,.267,.229,.495,43,.248,49,24,1,2,0,0,0,9H/D,,oneilty01
287,Leo Rivas#,28,SEA,AL,-0.1,38,120,99,9,13,2,1,0,7,2,0,15,36,.131,.263,.172,.434,29,.225,34,17,1,3,2,1,0,56/DH,,rivasle01
288,Luis Torrens,30,NYM,NL,0.9,41,120,110,13,24,9,0,1,15,0,0,5,27,.218,.271,.327,.598,70,.267,63,36,0,3,2,0,0,2/H3D,,torrelu01
289,Dylan Beavers*,24,BAL,AL,-0.1,33,119,103,16,25,7,0,2,12,3,1,14,28,.243,.331,.369,.699,99,.315,97,38,1,0,1,1,0,9/D87H,,beavedy01
290,Lenyn Sosa,26,2TM,AL,-0.9,40,117,113,11,22,7,0,1,9,0,0,1,25,.195,.207,.283,.490,34,.224,27,32,2,1,1,1,0,43/DH,,sosale01
290,Lenyn Sosa,26,CHW,AL,-0.3,12,33,33,2,7,3,0,0,3,0,0,0,7,.212,.212,.303,.515,43,.226,32,10,0,0,0,0,0,/DH34,,sosale01
290,Lenyn Sosa,26,TOR,AL,-0.6,28,84,80,9,15,4,0,1,6,0,0,1,18,.188,.205,.275,.480,31,.223,25,22,2,1,1,1,0,43/HD,,sosale01
291,Myles Straw,31,TOR,AL,-0.2,57,115,101,20,24,4,0,2,9,2,1,11,18,.238,.310,.337,.646,78,.292,73,34,1,0,2,1,0,*H978/D,,strawmy01
