Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days,City,Mascot
913428,Nick Yepez,MEL,3B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['MEL'],['ACB'],2024,0,0,0,100,Active,0,Melbourne,Cattle
664852,Luis Williams,MCH,SS,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['MCH'],['SOL'],2024,0,0,0,100,Active,0,McHenry,Otter
36364,Spencer Young,ERI,OF,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ERI'],['ACB'],2024,0,0,0,100,Active,0,Erie,Ox
842843,Jake Santos,RIC,3B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['RIC'],['ACB'],2024,0,0,0,100,Active,0,Richmond County,Llama
789065,Tyler Carpenter,STE,1B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['STE'],['SOL'],2024,0,0,0,100,Active,0,Sterling Heights,Bovid
166569,Michael Gilbert,DEN,1B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['DEN'],['SOL'],2024,0,0,0,100,Active,0,Denver,Land snail
841640,Adam Brito,GRE,1B,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['GRE'],['ACB'],2024,0,0,0,100,Active,0,Greenville,Hamster
941779,Alex Funderburk,RAC,SS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['RAC'],['SOL'],2024,0,0,0,100,Active,0,Racine,Hedgehog
231648,Calvin Silseth,ERI,1B,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ERI'],['ACB'],2024,0,0,0,100,Active,0,Erie,Ox
1027083,Jack Sims,THO,3B,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['THO'],['ACB'],2024,0,0,0,100,Active,0,Thousand Oaks,Sole
544562,Charlie Hall,BIR,SS,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['BIR'],['SOL'],2024,0,0,0,100,Active,0,Birmingham,Hermit crab
862242,Josh Estes,DEN,2B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['DEN'],['SOL'],2024,0,0,0,100,Active,0,Denver,Land snail
549138,Randal Holmes,NAS,2B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['NAS'],['ACB'],2024,0,0,0,100,Active,0,Nashville,Shark
393418,Michael Kelley,BOI,1B,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['BOI'],['SOL'],2024,0,0,0,100,Active,0,Boise City,Swordtail
850275,Connor Blankenhorn,RAC,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['RAC'],['SOL'],2024,0,0,0,100,Active,0,Racine,Hedgehog
926503,Kenny Bolton,VIS,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['VIS'],['ACB'],2024,0,0,0,100,Active,0,Visalia,Tahr
583175,Zack Haniger,VIS,C,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['VIS'],['ACB'],2024,0,0,0,100,Active,0,Visalia,Tahr
742754,Jake Machado,THO,1B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['THO'],['ACB'],2024,0,0,0,100,Active,0,Thousand Oaks,Sole
571350,Tyler Swanson,SAN,SS,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['SAN'],['SOL'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
557311,Alex Smith,RAC,2B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['RAC'],['SOL'],2024,0,0,0,100,Active,0,Racine,Hedgehog
424997,Nick Urias,SAN,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['SAN'],['SOL'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
785442,Matt McKenna,SUN,OF,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['SUN'],['ACB'],2024,0,0,0,100,Active,0,Sunnyvale,Lamprey
771883,Jarred Muller,HAV,1B,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['HAV'],['ACB'],2024,0,0,0,100,Active,0,Havre de Grace,Earthworm
855883,Jordyn Davies,NEW,3B,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['NEW'],['SOL'],2024,0,0,0,100,Active,0,Newport News,Cape buffalo
113391,Michael Kremer,SAN,SS,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['SAN'],['SOL'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
110540,Allan Hjelle,ROC,3B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ROC'],['ACB'],2024,0,0,0,100,Active,0,Rockford,Turtle
586967,Ryan Choi,MCH,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['MCH'],['SOL'],2024,0,0,0,100,Active,0,McHenry,Otter
352371,Isaac Rom,GIL,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['GIL'],['SOL'],2024,0,0,0,100,Active,0,Gilbert,Star-nosed mole
170725,Devin Adames,MEL,SS,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['MEL'],['ACB'],2024,0,0,0,100,Active,0,Melbourne,Cattle
784226,Brendan Brigham,BIR,OF,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['BIR'],['SOL'],2024,0,0,0,100,Active,0,Birmingham,Hermit crab
61662,Clint Suarez,GIL,2B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['GIL'],['SOL'],2024,0,0,0,100,Active,0,Gilbert,Star-nosed mole
739949,Santiago Brito,PAS,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['PAS'],['SOL'],2024,0,0,0,100,Active,0,Pasadena,Octopus
968189,Clarke Peralta,MEL,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['MEL'],['ACB'],2024,0,0,0,100,Active,0,Melbourne,Cattle
780131,Jacob Peralta,ERI,SS,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ERI'],['ACB'],2024,0,0,0,100,Active,0,Erie,Ox
623743,Eguy Contreras,HAV,2B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['HAV'],['ACB'],2024,0,0,0,100,Active,0,Havre de Grace,Earthworm
278821,Carlos Kemp,BIR,OF,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['BIR'],['SOL'],2024,0,0,0,100,Active,0,Birmingham,Hermit crab
21434,Kenny Mercado,RAC,1B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['RAC'],['SOL'],2024,0,0,0,100,Active,0,Racine,Hedgehog
319533,Kyle Edwards,NEI,1B,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['NEI'],['ACB'],2024,0,0,0,100,Active,0,Neilsville,Bat
919682,Joey Clemens,HAV,OF,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['HAV'],['ACB'],2024,0,0,0,100,Active,0,Havre de Grace,Earthworm
344105,David Andrus,MCH,SS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['MCH'],['SOL'],2024,0,0,0,100,Active,0,McHenry,Otter
344999,Trevor Villar,STE,SS,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['STE'],['SOL'],2024,0,0,0,100,Active,0,Sterling Heights,Bovid
793994,Willson Kennedy,NEI,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['NEI'],['ACB'],2024,0,0,0,100,Active,0,Neilsville,Bat
124485,Seby Jones,BOI,3B,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['BOI'],['SOL'],2024,0,0,0,100,Active,0,Boise City,Swordtail
894275,Wil Ford,VIS,3B,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['VIS'],['ACB'],2024,0,0,0,100,Active,0,Visalia,Tahr
505879,Jared Green,SAN,3B,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['SAN'],['SOL'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
723385,AJ Lopez,ROC,3B,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ROC'],['ACB'],2024,0,0,0,100,Active,0,Rockford,Turtle
363230,Jordan Cabrera,RIC,2B,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['RIC'],['ACB'],2024,0,0,0,100,Active,0,Richmond County,Llama
126584,Andrew Seabold,SAN,3B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['SAN'],['SOL'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
502598,Nick Belt,JAC,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['JAC'],['ACB'],2024,0,0,0,100,Active,0,Jacksonville,Barnacle
952660,Zack Alberto,LEW,SS,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['LEW'],['SOL'],2024,0,0,0,100,Active,0,Lewisville,Bird
247285,Thairo Frazier,TAL,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['TAL'],['ACB'],2024,0,0,0,100,Active,0,Tallahassee,Mandrill
1007341,Jarred Smith,HAV,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['HAV'],['ACB'],2024,0,0,0,100,Active,0,Havre de Grace,Earthworm
65420,Jakob Bauers,LEW,OF,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['LEW'],['SOL'],2024,0,0,0,100,Active,0,Lewisville,Bird
1000496,Vinnie Walsh,ERI,2B,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ERI'],['ACB'],2024,0,0,0,100,Active,0,Erie,Ox
93440,Tommy Contreras,NEI,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['NEI'],['ACB'],2024,0,0,0,100,Active,0,Neilsville,Bat
248979,Raisel Naile,ROC,OF,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ROC'],['ACB'],2024,0,0,0,100,Active,0,Rockford,Turtle
46751,Trevor Bellinger,BIR,3B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['BIR'],['SOL'],2024,0,0,0,100,Active,0,Birmingham,Hermit crab
691973,Joey Torres,NAS,SS,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['NAS'],['ACB'],2024,0,0,0,100,Active,0,Nashville,Shark
303680,Seth Kennedy,LEW,C,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['LEW'],['SOL'],2024,0,0,0,100,Active,0,Lewisville,Bird
977770,Jordan McLain,MEL,1B,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['MEL'],['ACB'],2024,0,0,0,100,Active,0,Melbourne,Cattle
1005931,Jorge Paxton,SAN,C,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['SAN'],['ACB'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
48622,Jose Logue,BIR,SS,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['BIR'],['SOL'],2024,0,0,0,100,Active,0,Birmingham,Hermit crab
895171,Jackson Bradley,ROC,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ROC'],['ACB'],2024,0,0,0,100,Active,0,Rockford,Turtle
357530,Miguel Machado,THO,SS,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['THO'],['ACB'],2024,0,0,0,100,Active,0,Thousand Oaks,Sole
50025,Andruw Englert,SAN,C,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['SAN'],['ACB'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
754990,Carlos Garlick,DEN,OF,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['DEN'],['SOL'],2024,0,0,0,100,Active,0,Denver,Land snail
1019969,Jorge Dominguez,STE,1B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['STE'],['SOL'],2024,0,0,0,100,Active,0,Sterling Heights,Bovid
417668,Yuli Kirilloff,ERI,C,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ERI'],['ACB'],2024,0,0,0,100,Active,0,Erie,Ox
953987,Garrett Gorman,TAL,3B,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['TAL'],['ACB'],2024,0,0,0,100,Active,0,Tallahassee,Mandrill
1001767,Michael Hader,STE,C,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['STE'],['SOL'],2024,0,0,0,100,Active,0,Sterling Heights,Bovid
754821,Michael Martinez,VIS,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['VIS'],['ACB'],2024,0,0,0,100,Active,0,Visalia,Tahr
919144,Cody Naile,MCH,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['MCH'],['SOL'],2024,0,0,0,100,Active,0,McHenry,Otter
441389,Ryan Montero,RIC,SS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['RIC'],['ACB'],2024,0,0,0,100,Active,0,Richmond County,Llama
521505,Daniel Abreu,THO,C,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['THO'],['ACB'],2024,0,0,0,100,Active,0,Thousand Oaks,Sole
896923,Jose Loaisiga,JAC,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['JAC'],['ACB'],2024,0,0,0,100,Active,0,Jacksonville,Barnacle
156745,Domingo Winder,GRE,SS,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['GRE'],['ACB'],2024,0,0,0,100,Active,0,Greenville,Hamster
555864,Parker Casas,ERI,3B,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ERI'],['ACB'],2024,0,0,0,100,Active,0,Erie,Ox
378945,Jonathan Latz,DEN,OF,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['DEN'],['SOL'],2024,0,0,0,100,Active,0,Denver,Land snail
913172,Alex Paris,GIL,OF,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['GIL'],['SOL'],2024,0,0,0,100,Active,0,Gilbert,Star-nosed mole
342558,David Lodolo,MCH,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['MCH'],['SOL'],2024,0,0,0,100,Active,0,McHenry,Otter
246308,Jason Middleton,ESC,DH,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ESC'],['ACB'],2024,0,0,0,100,Active,0,Escondido,Python
314165,Daniel Luciano,NAS,3B,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['NAS'],['ACB'],2024,0,0,0,100,Active,0,Nashville,Shark
266406,Wade Ramirez,FAY,2B,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['FAY'],['SOL'],2024,0,0,0,100,Active,0,Fayetteville,Viper
179091,Isiah Brennan,PAS,3B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['PAS'],['SOL'],2024,0,0,0,100,Active,0,Pasadena,Octopus
877028,Phil Ashcraft,NEI,SS,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['NEI'],['ACB'],2024,0,0,0,100,Active,0,Neilsville,Bat
90507,Justin Woo,TAL,3B,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['TAL'],['ACB'],2024,0,0,0,100,Active,0,Tallahassee,Mandrill
771239,Nick McKinney,SAN,C,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['SAN'],['SOL'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
695603,Steven Canning,DEN,2B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['DEN'],['SOL'],2024,0,0,0,100,Active,0,Denver,Land snail
528163,Jason Boyle,NEW,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['NEW'],['SOL'],2024,0,0,0,100,Active,0,Newport News,Cape buffalo
355871,Brice Kowar,SAN,C,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['SAN'],['SOL'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
616531,Freddy Diaz,ESC,3B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['ESC'],['ACB'],2024,0,0,0,100,Active,0,Escondido,Python
683494,Matt Sullivan,SUN,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['SUN'],['ACB'],2024,0,0,0,100,Active,0,Sunnyvale,Lamprey
862282,Victor Priester,SUN,3B,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['SUN'],['ACB'],2024,0,0,0,100,Active,0,Sunnyvale,Lamprey
549503,Cristopher Snell,FAY,3B,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['FAY'],['SOL'],2024,0,0,0,100,Active,0,Fayetteville,Viper
744110,Tomas Ottavino,BOI,2B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['BOI'],['SOL'],2024,0,0,0,100,Active,0,Boise City,Swordtail
1031549,Eury Greene,GRE,OF,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['GRE'],['ACB'],2024,0,0,0,100,Active,0,Greenville,Hamster
193953,Jake Giolito,JAC,3B,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['JAC'],['ACB'],2024,0,0,0,100,Active,0,Jacksonville,Barnacle
629940,Michael Andujar,DEN,OF,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['DEN'],['SOL'],2024,0,0,0,100,Active,0,Denver,Land snail
35118,Christopher Farmer,JAC,SS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['JAC'],['ACB'],2024,0,0,0,100,Active,0,Jacksonville,Barnacle
372185,Jakob Florial,BIR,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['BIR'],['SOL'],2024,0,0,0,100,Active,0,Birmingham,Hermit crab
276470,Xavier Nimmo,MEL,OF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['MEL'],['ACB'],2024,0,0,0,100,Active,0,Melbourne,Cattle
661045,Mickey Bard,TAL,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['TAL'],['ACB'],2024,0,0,0,100,Active,0,Tallahassee,Mandrill
328625,Logan Erceg,NEW,C,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['NEW'],['SOL'],2024,0,0,0,100,Active,0,Newport News,Cape buffalo
305005,Bryan Grandal,SUN,C,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['SUN'],['ACB'],2024,0,0,0,100,Active,0,Sunnyvale,Lamprey
715944,Riley Verlander,GRE,2B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['GRE'],['ACB'],2024,0,0,0,100,Active,0,Greenville,Hamster
458296,Jordan Martinez,SAN,SS,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['SAN'],['ACB'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
196948,Victor Torres,DES,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['DES'],['ACB'],2024,0,0,0,100,Active,0,Des Moines,Cattle
863313,LaMonte Priester,RIC,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['RIC'],['ACB'],2024,0,0,0,100,Active,0,Richmond County,Llama
786034,Zach Lyles,BIR,2B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['BIR'],['SOL'],2024,0,0,0,100,Active,0,Birmingham,Hermit crab
80734,Josh Ramos,JAC,C,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['JAC'],['ACB'],2024,0,0,0,100,Active,0,Jacksonville,Barnacle
55299,Brandon Nevin,SAN,DH,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['SAN'],['SOL'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
130033,Ryan Rortvedt,NEI,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['NEI'],['ACB'],2024,0,0,0,100,Active,0,Neilsville,Bat
895463,Hoby Bellinger,NEW,2B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['NEW'],['SOL'],2024,0,0,0,100,Active,0,Newport News,Cape buffalo
1040712,Randal Ginkel,RIC,1B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['RIC'],['ACB'],2024,0,0,0,100,Active,0,Richmond County,Llama
584702,Alec Rafaela,DES,OF,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['DES'],['ACB'],2024,0,0,0,100,Active,0,Des Moines,Cattle
581700,Dustin Priester,DES,C,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['DES'],['ACB'],2024,0,0,0,100,Active,0,Des Moines,Cattle
742025,Ryan Patton,STE,2B,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['STE'],['SOL'],2024,0,0,0,100,Active,0,Sterling Heights,Bovid
839257,Lane Snider,PAS,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['PAS'],['SOL'],2024,0,0,0,100,Active,0,Pasadena,Octopus
914024,Brad Snell,TAL,SS,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['TAL'],['ACB'],2024,0,0,0,100,Active,0,Tallahassee,Mandrill
1011813,Brandon Castillo,RIC,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['RIC'],['ACB'],2024,0,0,0,100,Active,0,Richmond County,Llama
163165,Luis Falter,SUN,DH,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['SUN'],['ACB'],2024,0,0,0,100,Active,0,Sunnyvale,Lamprey
880933,Jason Abbott,RIC,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['RIC'],['ACB'],2024,0,0,0,100,Active,0,Richmond County,Llama
