Hashcode,Player,Age,Team,WAR,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,GIDP,HBP,SH,SF,Pos,MLS,Salary,League,Teams,Leagues,Season,Total_OB,Total_Outs,E,Game_Fatigue_Factor,Condition,Status,Injured Days,City,Mascot
621574,José Jax,31,GAS,6.8,171,680,125,191,43,2,46,129,43,7,57,92,0.279,0.337,0.552,0.889,9,1,0,9,['3B'],9.074,17000000.0,ACB,['GAS'],['ACB'],[2024],249,490,0,0,100,Active,0,Gastonia,Slug
416859,Graham Contreras,26,TEM,4.9,168,658,110,183,37,2,24,102,13,3,85,153,0.281,0.363,0.449,0.812,21,3,2,4,['C'],2.112,766900.0,NBL,['TEM'],['NBL'],[2024],271,478,0,0,100,Active,0,Tempe,Steelhead trout
210181,Jo Chapman,27,MON,1.0,164,698,91,221,33,3,5,49,9,4,24,31,0.318,0.346,0.393,0.739,21,8,3,2,"['1B,2B', '2B,1B']",0.0,740000.0,NBL,['MON'],['NBL'],[2024],253,485,0,0,100,Active,0,Montgomery,Pigeon
923852,Josh Holman,31,MON,3.7,171,619,101,173,34,2,28,94,12,6,85,108,0.28,0.382,0.476,0.858,14,18,7,5,"['LF,1B']",9.165,1000000.0,NBL,['MON'],['NBL'],[2024],276,464,0,0,100,Active,0,Montgomery,Pigeon
915601,Jack Bader,29,MCH,2.9,171,657,99,153,27,5,50,113,6,4,64,142,0.235,0.308,0.517,0.825,13,8,4,5,"['RF,1B']",5.162,11700000.0,ACB,['MCH'],['ACB'],[2024],225,512,0,0,100,Active,0,McHenry,Asp
294150,Vaughn Wood,27,SHR,1.8,168,647,88,164,28,1,15,68,6,3,70,147,0.257,0.332,0.369,0.701,6,7,2,8,['2B'],5.162,14200000.0,ACB,['SHR'],['ACB'],[2024],241,490,0,0,100,Active,0,Shreveport,Moth
106184,Adam Quintana,31,WES,2.3,165,630,95,138,28,5,23,101,17,0,86,178,0.224,0.326,0.388,0.714,9,14,1,3,"['LF,CF']",7.042,20500000.0,NBL,['WES'],['NBL'],[2024],238,506,0,0,100,Active,0,Westminster,Gila monster
668198,Austin Melendez,30,SAI,2.3,172,641,79,157,30,2,26,83,8,4,73,181,0.246,0.328,0.419,0.747,11,7,0,9,['LF'],3.164,4800000.0,ACB,['SAI'],['ACB'],[2024],237,491,0,0,100,Active,0,Saint Petersburg,Platypus
305091,Sam Francis,32,POR,0.8,179,667,91,171,32,4,23,95,6,5,45,155,0.254,0.313,0.419,0.732,17,11,1,2,['RF'],10.029,20000000.0,NBL,['POR'],['NBL'],[2024],227,507,0,0,100,Active,0,Portsmouth,Penguin
112459,Kyle Lange,29,LAS,3.9,168,625,98,154,36,3,26,95,13,3,89,182,0.243,0.347,0.438,0.784,8,8,0,4,['LF'],6.036,21000000.0,NBL,['LAS'],['NBL'],[2024],251,479,0,0,100,Active,0,Las Vegas,list
270922,Ryan Strickland,30,MON,2.0,168,634,79,153,32,6,18,89,5,5,66,132,0.241,0.323,0.395,0.718,20,11,1,5,"['1B,2B']",4.0,7286714.0,NBL,['MON'],['NBL'],[2024],230,492,0,0,100,Active,0,Montgomery,Pigeon
596123,Matt King,26,BOS,1.5,172,626,81,138,36,5,20,101,28,3,81,152,0.225,0.317,0.389,0.706,5,8,1,4,"['LF,1B,2B,RF,SS']",1.035,750000.0,NBL,['BOS'],['NBL'],[2024],227,496,0,0,100,Active,0,Boston,Common household pests
113481,Calvin Caratini,36,HEN,1.3,165,659,78,160,36,2,24,67,11,1,53,188,0.245,0.301,0.412,0.713,25,2,4,3,['1B'],12.059,25333333.0,NBL,['HEN'],['NBL'],[2024],215,501,0,0,100,Active,0,Henderson,Sperm whale
946423,Austin Vilade,27,HEN,2.6,170,647,70,182,34,5,16,80,5,7,51,87,0.278,0.345,0.423,0.768,6,13,1,6,"['LF,2B,3B,RF']",2.0,757200.0,NBL,['HEN'],['NBL'],[2024],246,478,0,0,100,Active,0,Henderson,Sperm whale
92941,Ryan Floro,31,SIO,4.3,165,648,91,182,35,3,37,109,12,8,58,206,0.272,0.35,0.515,0.865,7,11,0,2,"['LF,RF']",6.097,23500000.0,NBL,['SIO'],['NBL'],[2024],251,477,0,0,100,Active,0,Sioux Falls,Guanaco
682449,Tyler Whitlock,34,CHE,2.6,174,648,64,175,28,5,27,112,2,0,47,142,0.271,0.33,0.453,0.783,19,11,3,6,"['C,1B']",12.05,20000000.0,ACB,['CHE'],['ACB'],[2024],233,484,0,0,100,Active,0,Chesapeake,Squirrel
964856,Chris Stephens,26,GRA,4.1,175,662,89,174,28,2,17,74,22,6,28,123,0.266,0.307,0.388,0.695,17,15,3,6,['SS'],2.0,783500.0,ACB,['GRA'],['ACB'],[2024],217,503,0,0,100,Active,0,Grayslake,Spider monkey
202165,David Gurriel,29,YON,1.0,170,604,79,131,35,1,20,68,23,10,81,188,0.231,0.33,0.377,0.707,7,22,2,6,"['LF,CF']",3.129,8100000.0,ACB,['YON'],['ACB'],[2024],234,495,0,0,100,Active,0,Yonkers,Guinea pig
90282,Matt d'Arnaud,31,TUS,7.1,168,632,110,157,44,3,30,85,15,2,69,172,0.247,0.33,0.469,0.798,16,9,0,3,['3B'],6.109,19000000.0,NBL,['TUS'],['NBL'],[2024],235,484,0,0,100,Active,0,Tuscaloosa,Fowl
625152,Miguel Gordon,29,COR,2.5,167,622,77,152,29,0,22,68,4,10,75,200,0.242,0.329,0.397,0.726,10,4,0,4,['3B'],6.006,12000000.0,NBL,['COR'],['NBL'],[2024],231,474,0,0,100,Active,0,Corpus Christi,Ermine
372791,Daz Kirilloff,31,MON,3.2,164,654,84,178,36,2,29,114,12,4,53,138,0.275,0.327,0.466,0.793,31,1,3,4,['3B'],11.056,17090909.0,NBL,['MON'],['NBL'],[2024],232,477,0,0,100,Active,0,Montgomery,Pigeon
262675,Josh Guillorme,26,SEB,2.2,173,627,79,149,45,4,25,63,5,4,73,139,0.243,0.321,0.441,0.762,10,5,1,1,['CF'],1.055,745000.0,ACB,['SEB'],['ACB'],[2024],227,483,0,0,100,Active,0,Sebastian,Cod
166182,Austin Rojas,27,LAS,3.7,167,640,93,177,40,1,11,51,35,6,52,72,0.273,0.344,0.393,0.737,8,14,2,3,"['2B,SS']",4.014,11500000.0,NBL,['LAS'],['NBL'],[2024],243,477,0,0,100,Active,0,Las Vegas,list
605430,David Zastryzny,25,LAS,0.4,165,596,70,140,25,3,20,85,1,2,85,116,0.223,0.347,0.387,0.734,18,18,1,6,"['3B', '3B,1B']",2.16,3400000.0,NBL,['LAS'],['NBL'],[2024],243,474,0,0,100,Active,0,Las Vegas,list
325139,Nolan Caballero,32,SOU,3.1,177,627,100,160,32,2,32,112,4,1,56,194,0.256,0.326,0.465,0.791,12,10,0,13,['3B'],9.061,11000000.0,NBL,['SOU'],['NBL'],[2024],226,477,0,0,100,Active,0,South Lyon,Toad
572868,Miles Bednar,34,SIO,4.7,159,594,88,166,36,3,27,97,10,2,87,110,0.282,0.381,0.486,0.867,13,11,0,12,['1B'],13.033,27000000.0,NBL,['SIO'],['NBL'],[2024],264,439,0,0,100,Active,0,Sioux Falls,Guanaco
753448,Stephen Mize,26,MCH,3.4,158,628,73,156,23,1,19,86,2,0,65,113,0.25,0.321,0.378,0.699,10,3,4,7,['C'],2.0,760300.0,ACB,['MCH'],['ACB'],[2024],224,475,0,0,100,Active,0,McHenry,Asp
126745,Hoby Marchán,31,JOL,0.4,171,643,74,142,29,2,29,91,11,7,50,193,0.224,0.284,0.407,0.691,13,7,1,8,['RF'],3.095,4750000.0,ACB,['JOL'],['ACB'],[2024],199,508,0,0,100,Active,0,Joliet,list
351035,Sean Ottavino,27,BOS,1.7,163,587,94,144,31,2,15,65,15,5,89,139,0.248,0.36,0.381,0.741,16,17,6,10,['2B'],3.0,3800000.0,NBL,['BOS'],['NBL'],[2024],250,460,0,0,100,Active,0,Boston,Common household pests
1042180,Michael Luciano,22,HEN,4.9,165,645,94,169,36,7,16,60,11,5,43,120,0.267,0.31,0.413,0.723,1,2,4,5,['SS'],0.045,742250.0,NBL,['HEN'],['NBL'],[2024],214,478,0,0,100,Active,0,Henderson,Sperm whale
1016289,Kyle Kiner-Falefa,27,GRA,5.4,164,607,94,182,39,4,35,94,6,0,75,106,0.308,0.386,0.55,0.936,19,11,1,5,['LF'],4.113,10833333.0,ACB,['GRA'],['ACB'],[2024],268,436,0,0,100,Active,0,Grayslake,Spider monkey
718505,Eguy Casparius,33,HEN,2.5,168,630,79,173,24,0,17,75,6,2,47,99,0.272,0.331,0.393,0.724,16,7,0,7,['3B'],10.155,32675167.0,NBL,['HEN'],['NBL'],[2024],227,464,0,0,100,Active,0,Henderson,Sperm whale
608173,Joe Peraza,27,PHO,1.6,177,612,99,149,31,5,15,65,14,12,59,165,0.247,0.33,0.383,0.713,9,21,5,4,"['SS,2B,LF,CF,3B,P']",4.017,3300000.0,ACB,['PHO'],['ACB'],[2024],229,484,0,0,100,Active,0,Phoenix,Stingray
191179,Andrew Moore,30,GRA,4.1,159,638,88,166,32,2,29,84,5,1,47,92,0.26,0.319,0.452,0.771,13,9,3,4,['3B'],7.07,30500000.0,ACB,['GRA'],['ACB'],[2024],222,481,0,0,100,Active,0,Grayslake,Spider monkey
790647,Josh Rodríguez,25,GAS,4.0,167,643,68,160,22,1,9,70,34,5,26,102,0.252,0.293,0.328,0.621,11,15,5,7,['2B'],3.106,5571429.0,ACB,['GAS'],['ACB'],[2024],201,498,0,0,100,Active,0,Gastonia,Slug
355533,Josh De Los Santos,27,GAS,1.5,166,618,91,150,31,0,35,120,6,2,63,116,0.243,0.321,0.462,0.783,23,9,1,4,['1B'],4.127,6500000.0,ACB,['GAS'],['ACB'],[2024],222,477,0,0,100,Active,0,Gastonia,Slug
819219,Spencer Lodolo,31,POR,4.8,158,602,92,170,48,4,31,97,7,5,79,150,0.285,0.367,0.529,0.896,19,2,2,3,['1B'],11.159,27538462.0,NBL,['POR'],['NBL'],[2024],251,434,0,0,100,Active,0,Portsmouth,Penguin
738161,Nick Díaz,27,YON,4.6,168,600,80,128,18,2,39,109,8,4,78,192,0.22,0.309,0.445,0.754,7,6,1,7,['C'],2.085,795000.0,ACB,['YON'],['ACB'],[2024],212,478,0,0,100,Active,0,Yonkers,Guinea pig
625877,Zack Taylor,24,CHE,1.2,176,632,95,146,27,5,7,63,38,2,46,114,0.231,0.284,0.322,0.606,7,1,4,7,"['3B,2B,SS,RF']",0.168,751250.0,ACB,['CHE'],['ACB'],[2024],193,487,0,0,100,Active,0,Chesapeake,Squirrel
634603,Ángel Muller,27,SHR,-1.2,165,642,68,148,28,0,21,70,5,2,29,188,0.2,0.267,0.372,0.639,13,3,1,5,"['LF,RF', 'RF,LF']",2.056,768000.0,NBL,['SHR'],['NBL'],[2024],180,497,0,0,100,Active,0,Shreveport,Moth
305659,Charles Urshela,32,PAL,1.6,159,618,59,173,31,2,15,73,0,0,53,100,0.281,0.343,0.409,0.752,12,7,2,5,['1B'],5.122,8000000.0,ACB,['PAL'],['ACB'],[2024],233,452,0,0,100,Active,0,Palmdale,Skink
83638,Iván Bukauskas,28,SHR,0.7,165,614,80,144,34,2,15,65,3,2,56,99,0.233,0.299,0.369,0.667,20,1,4,10,"['LF,RF,CF']",5.078,8700000.0,ACB,['SHR'],['ACB'],[2024],201,471,0,0,100,Active,0,Shreveport,Moth
997263,Ketel Winder,26,SHR,1.5,161,622,81,156,24,4,26,79,48,13,57,162,0.273,0.319,0.427,0.746,8,6,1,2,"['3B,CF', 'CF,3B,2B', 'CF,2B']",3.075,2625000.0,ACB,['SHR'],['ACB'],[2024],219,472,0,0,100,Active,0,Shreveport,Moth
622998,Aaron Gilbert,25,GRA,3.2,161,645,77,193,33,4,18,96,3,0,24,117,0.299,0.326,0.446,0.772,24,2,1,10,"['C,1B']",1.035,768900.0,ACB,['GRA'],['ACB'],[2024],219,454,0,0,100,Active,0,Grayslake,Spider monkey
786385,Robert Alvarez,24,TEM,4.6,169,612,79,154,27,5,9,61,54,10,54,116,0.254,0.314,0.356,0.669,10,2,6,4,['2B'],0.165,748200.0,NBL,['TEM'],['NBL'],[2024],210,460,0,0,100,Active,0,Tempe,Steelhead trout
272760,Mason Lovelady,29,SEB,5.6,157,599,91,169,30,4,40,126,12,4,68,193,0.293,0.36,0.545,0.905,5,5,0,4,"['LF,RF']",2.059,750000.0,ACB,['SEB'],['ACB'],[2024],242,435,0,0,100,Active,0,Sebastian,Cod
223685,Joe Davis,34,SAN,1.1,161,598,80,129,19,4,19,56,16,1,65,124,0.22,0.3,0.356,0.655,16,7,0,4,"['RF,CF']",9.166,24166667.0,ACB,['SAN'],['ACB'],[2024],201,476,0,0,100,Active,0,Santa Rosa,Coyote
679931,Alí McKinstry,23,YON,4.3,155,620,84,170,20,0,22,73,25,8,45,172,0.273,0.329,0.412,0.741,11,6,2,4,['CF'],2.0,12185714.0,ACB,['YON'],['ACB'],[2024],221,456,0,0,100,Active,0,Yonkers,Guinea pig
1015298,Dairon Brooks,25,PAL,-0.8,167,588,64,113,14,3,21,65,9,9,66,171,0.191,0.284,0.333,0.617,17,10,1,5,"['2B,LF', '3B', '3B,2B,LF']",1.117,767000.0,ACB,['PAL'],['ACB'],[2024],189,485,0,0,100,Active,0,Palmdale,Skink
247884,Nick France,22,SAI,1.3,162,572,67,139,23,1,13,59,12,1,76,114,0.25,0.343,0.354,0.697,16,12,6,8,['1B'],0.045,750000.0,ACB,['SAI'],['ACB'],[2024],227,445,0,0,100,Active,0,Saint Petersburg,Platypus
230315,Darius Ross,27,POR,3.0,157,609,64,172,48,6,15,108,7,2,45,95,0.28,0.338,0.454,0.792,19,7,1,7,"['3B,1B']",3.106,4000000.0,NBL,['POR'],['NBL'],[2024],224,444,0,0,100,Active,0,Portsmouth,Penguin
283368,Keegan Serven,26,COR,4.0,165,591,93,153,27,5,26,80,34,9,50,164,0.26,0.32,0.453,0.773,15,4,4,8,['CF'],0.161,742000.0,NBL,['COR'],['NBL'],[2024],207,442,0,0,100,Active,0,Corpus Christi,Ermine
870361,José Hwan Bae,31,SOU,0.3,158,589,72,146,25,4,23,76,3,2,58,130,0.279,0.323,0.421,0.744,23,8,2,4,['1B'],7.053,16500000.0,NBL,['SOU'],['NBL'],[2024],212,451,0,0,100,Active,0,South Lyon,Toad
164077,Zack Rainey,23,VIS,3.4,152,596,86,147,30,6,22,69,33,14,45,142,0.246,0.322,0.427,0.749,5,22,2,7,['SS'],1.13,752400.0,NBL,['VIS'],['NBL'],[2024],214,471,0,0,100,Active,0,Visalia,Elephant seal
629147,Salvador Smith-Shawver,29,RIV,0.6,175,602,54,135,27,2,20,51,4,1,45,138,0.218,0.28,0.375,0.655,16,2,1,7,['SS'],6.114,2000000.0,NBL,['RIV'],['NBL'],[2024],182,469,0,0,100,Active,0,Riverside,Fancy rat
524975,Keider Hedges,23,SAI,5.1,171,595,77,146,34,2,27,84,32,12,41,157,0.249,0.312,0.445,0.757,14,17,7,3,['SS'],0.17,750000.0,ACB,['SAI'],['ACB'],[2024],204,466,0,0,100,Active,0,Saint Petersburg,Platypus
443304,Yoendrys Dunn,27,WAT,3.7,152,576,94,155,35,8,29,91,6,0,74,159,0.272,0.359,0.508,0.867,14,7,0,7,['3B'],6.07,29500000.0,ACB,['WAT'],['ACB'],[2024],236,428,0,0,100,Active,0,Waterloo,Caribou
137508,Justyn-Henry Goldschmidt,25,SHR,2.5,159,594,76,154,37,3,22,82,25,4,58,202,0.259,0.329,0.442,0.771,10,4,0,6,"['SS,CF']",1.11,755000.0,NBL,['SHR'],['NBL'],[2024],216,444,0,0,100,Active,0,Shreveport,Moth
456898,Christian Rice,25,HEN,1.2,165,598,81,160,22,1,25,89,12,7,37,83,0.269,0.314,0.433,0.747,8,4,2,7,"['RF,LF,1B']",1.029,750050.0,NBL,['HEN'],['NBL'],[2024],201,442,0,0,100,Active,0,Henderson,Sperm whale
481417,Luke Henderson,38,PHO,2.5,164,571,71,139,27,1,24,75,6,0,69,111,0.238,0.334,0.42,0.754,11,9,1,4,['1B'],13.115,5250000.0,ACB,['PHO'],['ACB'],[2024],217,441,0,0,100,Active,0,Phoenix,Stingray
268406,Huascar Sánchez,21,MON,4.4,172,610,85,178,32,9,24,100,18,3,34,109,0.292,0.334,0.491,0.825,4,5,6,5,['CF'],0.0,740000.0,NBL,['MON'],['NBL'],[2024],217,437,0,0,100,Active,0,Montgomery,Pigeon
870683,Adolis Eflin,30,LAS,4.0,166,588,87,140,30,2,20,73,22,6,59,158,0.242,0.311,0.397,0.708,10,4,0,5,['SS'],7.047,26000000.0,NBL,['LAS'],['NBL'],[2024],203,452,0,0,100,Active,0,Las Vegas,list
411817,Joey García,26,JOL,3.2,163,575,68,147,32,2,15,69,12,2,53,134,0.258,0.337,0.396,0.733,6,18,2,7,"['3B,SS,LF,2B,RF']",0.0,740000.0,ACB,['JOL'],['ACB'],[2024],218,446,0,0,100,Active,0,Joliet,list
16032,Dominic Maciejewski,29,LAS,3.5,142,562,84,157,29,6,26,80,20,7,70,176,0.283,0.365,0.491,0.856,7,6,3,4,"['RF,LF']",2.0,21000000.0,NBL,['LAS'],['NBL'],[2024],233,411,0,0,100,Active,0,Las Vegas,list
807868,Michael Mullins,23,NEW,5.4,152,564,87,147,32,7,27,78,7,5,72,170,0.262,0.35,0.485,0.835,2,6,1,2,"['LF,CF,RF']",1.11,766300.0,ACB,['NEW'],['ACB'],[2024],225,423,0,0,100,Active,0,Newport News,Raccoon
548179,Justin Waters,30,SOU,6.8,150,558,99,160,24,3,37,103,7,1,70,116,0.292,0.371,0.539,0.91,9,5,1,10,"['2B,SS']",7.162,13600000.0,NBL,['SOU'],['NBL'],[2024],235,403,0,0,100,Active,0,South Lyon,Toad
351747,Randy Walton,28,BET,0.5,151,586,74,148,24,3,34,80,2,2,33,167,0.25,0.305,0.477,0.782,11,12,0,6,"['1B,3B']",1.127,760000.0,NBL,['BET'],['NBL'],[2024],193,450,0,0,100,Active,0,Bethlehem,Rabbit
800093,Tyler Schuemann,32,RIV,0.1,155,541,96,132,36,1,23,73,1,1,76,155,0.243,0.344,0.441,0.784,11,7,2,5,"['RF,LF']",8.143,10000000.0,NBL,['RIV'],['NBL'],[2024],215,416,0,0,100,Active,0,Riverside,Fancy rat
892869,Justin Marte,20,TEM,3.8,163,579,88,161,31,5,22,87,29,7,43,135,0.275,0.334,0.462,0.796,9,6,3,2,"['LF,RF']",0.0,2250000.0,NBL,['TEM'],['NBL'],[2024],210,424,0,0,100,Active,0,Tempe,Steelhead trout
567821,Adam Walker,23,WAT,2.8,168,594,77,146,30,5,16,84,24,10,18,162,0.246,0.276,0.393,0.669,9,7,2,6,"['CF,SS,2B,3B,RF']",0.035,743500.0,ACB,['WAT'],['ACB'],[2024],171,455,0,0,100,Active,0,Waterloo,Caribou
378893,Kevin Saucedo,26,POR,2.5,163,557,74,135,23,3,12,63,35,4,61,100,0.245,0.323,0.359,0.681,10,6,0,12,"['2B,SS']",2.0,768000.0,NBL,['POR'],['NBL'],[2024],202,428,0,0,100,Active,0,Portsmouth,Penguin
288334,Patrick O'Neill,28,LAS,2.2,146,571,80,150,26,3,22,85,9,3,50,96,0.266,0.326,0.434,0.76,10,4,2,5,"['RF,CF,1B,LF']",6.16,27500000.0,NBL,['LAS'],['NBL'],[2024],204,425,0,0,100,Active,0,Las Vegas,list
895781,Casey France,26,LAS,2.8,168,545,81,135,30,6,26,73,3,1,70,179,0.248,0.339,0.467,0.806,11,6,1,6,"['1B,2B,3B']",0.045,741500.0,NBL,['LAS'],['NBL'],[2024],211,416,0,0,100,Active,0,Las Vegas,list
81420,Jose Whitlock,27,NEW,2.9,159,567,86,143,29,7,17,59,8,1,43,132,0.257,0.311,0.417,0.728,9,6,0,5,"['CF,3B,RF,LF,1B']",2.026,766000.0,ACB,['NEW'],['ACB'],[2024],192,430,0,0,100,Active,0,Newport News,Raccoon
198991,Trenton Mederos,28,JOL,2.7,152,535,68,141,16,2,16,77,3,1,76,134,0.265,0.359,0.39,0.749,11,4,3,6,['1B'],3.145,7500000.0,ACB,['JOL'],['ACB'],[2024],221,398,0,0,100,Active,0,Joliet,list
765501,Mike Pages,24,MCH,3.1,169,548,85,132,28,3,28,75,10,6,58,194,0.242,0.324,0.456,0.78,9,10,0,3,"['LF,CF,RF']",0.043,742800.0,ACB,['MCH'],['ACB'],[2024],200,426,0,0,100,Active,0,McHenry,Asp
935942,Alí Emanuel,22,JOL,3.9,142,546,80,139,27,6,17,83,20,5,58,125,0.253,0.33,0.419,0.749,8,4,0,7,"['LF,CF']",0.0,740000.0,ACB,['JOL'],['ACB'],[2024],201,411,0,0,100,Active,0,Joliet,list
507647,Luke Brennan,22,NEW,1.1,162,567,57,146,15,6,16,66,7,1,37,117,0.26,0.305,0.389,0.694,8,2,2,4,['2B'],0.0,2833333.0,ACB,['NEW'],['ACB'],[2024],185,423,0,0,100,Active,0,Newport News,Raccoon
988388,Kyle Tauchman,26,CHE,1.1,142,548,68,141,30,2,20,107,1,0,41,78,0.262,0.315,0.428,0.743,13,6,1,14,['1B'],1.101,752750.0,ACB,['CHE'],['ACB'],[2024],188,413,0,0,100,Active,0,Chesapeake,Squirrel
289719,Yilber Farmer,30,SOU,2.1,147,565,78,155,27,4,18,83,10,2,29,113,0.279,0.317,0.431,0.748,16,7,0,6,"['LF,1B']",5.094,10000000.0,NBL,['SOU'],['NBL'],[2024],191,417,0,0,100,Active,0,South Lyon,Toad
781055,Riley Palacios,33,SOU,2.6,141,529,78,130,27,0,32,95,2,2,61,143,0.251,0.339,0.478,0.817,16,14,1,9,['1B'],5.124,10900000.0,NBL,['SOU'],['NBL'],[2024],205,413,0,0,100,Active,0,South Lyon,Toad
542477,Dansby Ornelas,24,SEB,1.3,156,548,68,113,21,2,18,56,25,4,42,209,0.211,0.268,0.35,0.618,11,5,3,8,['2B'],0.08,740000.0,ACB,['SEB'],['ACB'],[2024],160,440,0,0,100,Active,0,Sebastian,Cod
